Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
16062,AIS,Pathum Thani,2024-11-21T17:40:58.971262Z,35.25048413698748,45.455,609315907.7960403,273507087.1123083,,49.228.32.192
42132,AIS,Mueang Lop Buri,2024-11-21T17:41:10.757811Z,119.94553873447049,12.52,615342008.9494175,282991006.5568911,,49.228.32.192
